name,description,category,photo,points,resource_link,resource_type,resource_alt
Put together a jigsaw puzzle 🧩 ,"Find a puzzle around the house or pick one online. Puzzles teach us a lot about concentration and problem-solving skills! Plus, it's pretty cool watching a bunch of little pieces come together to make a whole.",Creativity Training,TRUE,4,https://www.roomrecess.com/Puzzles/Dog49/jigsaw.html,link,Solve a dog puzzle!
Learn to crochet 🧵 ,Get a crochet needle and some yarn and make something fun!,Creativity Training,TRUE,10,https://www.youtube.com/watch?v=aAxGTnVNJiE,video,How to crochet!
Make a handmade card for a friend 💌,Bust out a piece of pen and paper and make a thoughtful card to send to a friend via snail mail.,Creativity Training,TRUE,6,https://www.youtube.com/watch?v=y2d-0dIimgY,video,How to write a letter video
🙅‍♀️ Cut out sugary beverages today🙅,Find a sugary snack in the pantry or a soda in the fridge. Take a picture of the nutrition label. How many grams of sugar does it have? Look at Sugars and Added Sugars.,Health Training,TRUE,5,https://www.fda.gov/files/addedsugars_label_1_0.png,image,Where to find Sugars and Added Sugars on a nutrition label
Eat healthy a meal 🍅 ,"Create a lunch or dinner that follows the My Plate plan - includes protein, fruit, vegetables, grains, and dairy.  Take a picture of your plate!",Health Training,TRUE,6,https://www.youtube.com/watch?v=Gmh_xMMJ2Pw,video,Kaiser Permanente: How to make a healthy plate
Go on a trash walk 🗑,When you are taking a walk bring a trash bag and collect trash to throw away when you get home. Take a picture of your good deed!,Basic Training,TRUE,10,https://study.com/academy/lesson/littering-facts-lesson-for-kids.html,link,Why littering is bad
👯‍♀️ Make your own plastic bag jumprope 👯,Does your family save plastic bags from the grocery store? Rip them apart and tie them together to make your very own jumprope! Try it out by jumping until you get tired.,Health Training,TRUE,10,https://www.youtube.com/watch?v=xGRSzsVw1cQ,video,YMCA: How to make a plastic jump rope video
Gather toys and clothes you don't use anymore to donate 👚🧸,It's important to give to others who are in need. Put the clothes and toys you are ready to donate in a box. Take a photo of your box when it's ready.,Basic Training,TRUE,10,https://image.freepik.com/free-vector/group-young-people-volunteering-collect-donations-clothes-books_10045-474.jpg,image,donating clothes
Put kind sticky notes all over your bathroom mirror 🙌,Give yourself some daily reminders to inspire yourself when your day begins. There are so many different things you could write! Maybe it's your favorite quote or just something about yourself that makes you smile. Take a picture of your mirror!,Health Training,TRUE,5,https://i.pinimg.com/originals/02/7a/3b/027a3ba6af95f547a0e087411edd16f8.jpg,image,inspirational sticky notes
Write a thank you note and send it to your local fire or police station 👩‍🚒👨‍🏭,There are a lot of people in your city or town that work very hard to keep it safe. Show your appreciation by making a handmade thank you card!,Creativity Training,TRUE,10,https://www.youtube.com/watch?v=0qZPvEzhBR0,video,5 cute and easy greeting cards
Paint rocks and leave them places 🎨 ,Gather some rocks and paint them with pictures and words and then leave them places for people to find. Take a picture of your favorite rock art.,Creativity Training,TRUE,7,https://www.covingtonreporter.com/wp-content/uploads/2018/10/13870356_web1_Rocks-CMV-181012-p-2.jpg,image,painted rocks
Make your own stress ball 🔮,"All you need for this activity is some flour or corn starch, a balloon and a funnel. Start by stretching out the balloon, then stick the funnel in the opening and pour in the flour or corn starch. You may need to tap the sides of the funnel to help the flour move down the funnel. Start by stretching out the balloon, then stick the funnel in the opening and pour in the flour or corn starch. You may need to tap the sides of the funnel to help the flour move down the funnel. Once the balloon is filled with flour (it will not expand much), simply tie it. You may want to consider placing it inside another balloon to make the exterior stronger.",Health Training,TRUE,7,https://veryspecialtales.com/diy-stress-balls-kids/,link,Make a stress ball
Create your own comfy reading nook 🛋 📖,Build a space in your home or room dedicated to reading. Build a fort or turn a giant box into a little nook and lay down some floor pillows and blankets to make it extra cozy.,Brain Training,TRUE,10,https://giphy.com/gifs/soulpancake-friends-move-moving-uYvoragxDkIM0,image,Sitting in a simple boxfort
✨  Make your bedroom sparkle ✨ ,A secret agent needs to know where all their tools are. Let's make sure we know where all of our tools are by cleaning our room and taking a picture of it!,Basic Training,TRUE,8,https://i0.wp.com/www.environmental-watch.com/wp-content/uploads/2015/01/cleanroom.jpg,image,sparkling clean room
Draw a self portrait 🎨 ,Sit down with a pen and paper in front of a mirror and draw what you see. There are a lot of benefits that come with taking the time to draw ourselves! How can you include the things you value and your future goals in your drawing?,Creativity Training,TRUE,7,https://www.youtube.com/watch?v=IRp3sBQ-NFU,video,How to draw a self portrait: for kids!
Solve a sudoku puzzle 🧩 ,"Visit the website to get a printable sudoku puzzle to solve. All puzzles are great for boosting brain power, but did you know sudoku puzzles are especially great for improving memory? Take a picture of your completed puzzle to earn the points for this task!",Brain Training,TRUE,5,https://www.puzzles-to-print.com/printable-sudokus/sudokus-for-kids.shtml,link,Printable sudoku puzzles
Make a homemade puzzle 🧩 ,Draw a picture on a piece of paper then use scissors to cut it up into pieces. Put it back together or store the pieces together in a ziploc bag!,Creativity Training,TRUE,7,https://www.youtube.com/watch?v=DZSmutCSbpU,video,Easy DIY puzzle
Bake a delicious treat 🧁 ,"Watch the video to learn how to make cookies, or get creative and bake your own delicious treat!",Creativity Training,TRUE,10,https://www.youtube.com/watch?v=peuo26PnF1Q,video,3-ingredient cookies for kids video
Make your own sidewalk chalk ✍️ ,"Eggshells contain calcium, the same material that makes chalk. Grind them up and mix them with flour, water, and food coloring to make your very own sidewalk chalk.",Brain Training,TRUE,8,https://youtu.be/SsNFQBANbVE?t=11,video,How to make sidewalk chalk with eggshells
Float a dry erase marker drawing 🖊,"Draw a picture with a dry erase marker on a plate or bowl. Pour water over your drawing and watch it rise off the surface! This works due to the insolubility of dry-erase marker ink in water, combined with the lighter density of the ink.",Brain Training,TRUE,5,https://www.youtube.com/watch?v=OM-LQQr-9Gc,video,Float a marker man
Clean coins 🪙,"Put some vinegar & salt, coca cola, and water, in three different cups. Place coins in each of the cups. Which one do you think will work the best and why?",Brain Training,TRUE,3,https://www.youtube.com/watch?v=VwVLL6m5QRY,video,clean some coins
Make a paper airplane soar ✈️,Make the best paper airplane you can and take a photo of it!,Creativity Training,TRUE,5,https://www.youtube.com/watch?v=mO3SKDJrsds,video,make an awesome airplane
Make giant bubbles out of dish soap ⚪️,Watch this video to learn how to make super cool giant bubbles with dish soap!,Brain Training,TRUE,10,https://youtu.be/Kg9nF8yXtww?t=17,video,How to make homemade bubble solution
